Project backlog — ALL ITEMS COMPLETE (25/25 as of Sprint 4)

Backlog items are termed functional (F) or non-functional (N) and high-priority (1) or low-priority (2) for the final application.

ID	Description	Type	Priority	Status
1	Support user accounts and user login	F	1	✅ DONE
2	Option to store customer's card details for quicker bookings	F	2	✅ DONE
3	If ID 2: good security for user accounts	NF	2	✅ DONE
4	View hire options and cost: 1hr, 4hrs, 1day, 1week	F	1	✅ DONE
5	Book an e-scooter; select e-scooter ID and hire period. 	F	1	✅ DONE
6	Handle card payment for booking (simulated)	F	1	✅ DONE
7	Send booking confirmation via email	F	2	✅ DONE
8	Store booking confirmation and display on demand	F	1	✅ DONE
9	(Staff) Take bookings for unregistered users (req ID 7)	F	2	✅ DONE
10	ID5: Update e-scooter status from available to unavailable	F	2	✅ DONE
11	ID5: Option to extend current booking	F	2	✅ DONE
12	Cancel booking	F	1	✅ DONE
13	Send short feedback for issues/faults	F	2	✅ DONE
14	if ID13: Prioritise feedback - escalate to high priority, resolve for low priority	F	3	✅ DONE
15	if ID14: View high priority issues	F	3	✅ DONE
16	Configure e-scooter details and costs. 	F	1	✅ DONE
17	Display scooter list availability: availability/location if available	F	2	✅ DONE
18	Display the five scooter locations on a visual map (see sheet 2)	F	2	✅ DONE
19	View weekly income for rental options: 1hr, 4hr, day, week (tracking popular hire length)	F	1	✅ DONE
20	View combined daily income over a week duration (tracking popular hire days- include 1hr, 4hr, 1day, discount 1week hire period in this statistic)	F	2	✅ DONE
21	If ID 19, 20: plot weekly income graphically	F	2	✅ DONE
22	Discount applied for frequent users (8+hrs per week), students, senior citizens	F	2	✅ DONE
23	Support usage by multiple clients simultaneously	F	2	✅ DONE
24	Provide a responsive user interface	NF	2	✅ DONE
25	Address issues of accessibility (colour & font choices, etc)	NF	2	✅ DONE

Completion evidence: docs/sprints/Sprint4_FINAL_COMPLETION_REPORT.md
